prev_caption,curr_caption,human_transition,input_text
a tiger in a zoo,a tiger is walking through the woods,,"Caption 1: a tiger in a zoo
Caption 2: a tiger is walking through the woods
What's the transition?"
a small animal standing on a bed next to a plastic container,a rad is standing on a bed,,"Caption 1: a small animal standing on a bed next to a plastic container
Caption 2: a rad is standing on a bed
What's the transition?"
a group of people are in the water,two men are working in the water,,"Caption 1: a group of people are in the water
Caption 2: two men are working in the water
What's the transition?"
a man walking down a street next to a building,a black and white image of people walking down a street,,"Caption 1: a man walking down a street next to a building
Caption 2: a black and white image of people walking down a street
What's the transition?"
a dog and a cat playing in the park,a dog and a cat are playing in the dirt,,"Caption 1: a dog and a cat playing in the park
Caption 2: a dog and a cat are playing in the dirt
What's the transition?"
a group of men in uniform standing in a room,two men in uniform walking through a hallway,,"Caption 1: a group of men in uniform standing in a room
Caption 2: two men in uniform walking through a hallway
What's the transition?"
a small animal standing in the woods,a bear is standing in the woods,,"Caption 1: a small animal standing in the woods
Caption 2: a bear is standing in the woods
What's the transition?"
a small animal in the woods,a hippog in the water,,"Caption 1: a small animal in the woods
Caption 2: a hippog in the water
What's the transition?"
a man wearing a white shirt,a man wearing a black shirt,,"Caption 1: a man wearing a white shirt
Caption 2: a man wearing a black shirt
What's the transition?"
a woman holding a knife and looking at the camera,a woman is holding a knife and smiling,,"Caption 1: a woman holding a knife and looking at the camera
Caption 2: a woman is holding a knife and smiling
What's the transition?"
a woman is holding a knife and looking at the camera,a woman is putting her makeup with a brush,,"Caption 1: a woman is holding a knife and looking at the camera
Caption 2: a woman is putting her makeup with a brush
What's the transition?"
a woman is making a lemon cake,a woman in a blue shirt is making something,,"Caption 1: a woman is making a lemon cake
Caption 2: a woman in a blue shirt is making something
What's the transition?"
a man driving a car on a road,a car driving down a road with a view of a house,,"Caption 1: a man driving a car on a road
Caption 2: a car driving down a road with a view of a house
What's the transition?"
a man sitting on a bench playing a guitar,a man playing a guitar on a street,,"Caption 1: a man sitting on a bench playing a guitar
Caption 2: a man playing a guitar on a street
What's the transition?"
a man is walking down the street in the rain,a bear is walking across the street in the rain,,"Caption 1: a man is walking down the street in the rain
Caption 2: a bear is walking across the street in the rain
What's the transition?"
a woman is hugging a man on the stage,a woman in a white dress,,"Caption 1: a woman is hugging a man on the stage
Caption 2: a woman in a white dress
What's the transition?"
a man is kissing a woman in a room,a man is kissing a woman on the cheek,,"Caption 1: a man is kissing a woman in a room
Caption 2: a man is kissing a woman on the cheek
What's the transition?"
a cat is sleeping on a bed,a cat laying on a bed with a blanket,,"Caption 1: a cat is sleeping on a bed
Caption 2: a cat laying on a bed with a blanket
What's the transition?"
a knife cutting a piece of cheese on a plate,a white plate with two scoops of ice cream,,"Caption 1: a knife cutting a piece of cheese on a plate
Caption 2: a white plate with two scoops of ice cream
What's the transition?"
a video of a football game being played by a man,a video of a man running on a track,,"Caption 1: a video of a football game being played by a man
Caption 2: a video of a man running on a track
What's the transition?"
a man is taking a picture of the ocean,a man is taking a picture of a sunset,,"Caption 1: a man is taking a picture of the ocean
Caption 2: a man is taking a picture of a sunset
What's the transition?"
a man and a woman are in a church,two people are sitting in pew pews in a church,,"Caption 1: a man and a woman are in a church
Caption 2: two people are sitting in pew pews in a church
What's the transition?"
a man and woman are sitting in a room,a man and woman sitting in a church,,"Caption 1: a man and woman are sitting in a room
Caption 2: a man and woman sitting in a church
What's the transition?"
a man holding a camera and a bag,a man holding a rifle in his hand,,"Caption 1: a man holding a camera and a bag
Caption 2: a man holding a rifle in his hand
What's the transition?"
a bear is standing in the dirt,a bear is standing in the mud hole,,"Caption 1: a bear is standing in the dirt
Caption 2: a bear is standing in the mud hole
What's the transition?"
a man is standing in the woods with a bear,a bear cub is seen in a forest in this und - news file photo,,"Caption 1: a man is standing in the woods with a bear
Caption 2: a bear cub is seen in a forest in this und - news file photo
What's the transition?"
a woman is shopping in a store,a woman is standing in a store with her arms up,,"Caption 1: a woman is shopping in a store
Caption 2: a woman is standing in a store with her arms up
What's the transition?"
two girls are walking down the aisle of a store,two girls in a bike shop looking at bicycles,,"Caption 1: two girls are walking down the aisle of a store
Caption 2: two girls in a bike shop looking at bicycles
What's the transition?"
a car is driving down a hill,a car is shown in this image from the video,,"Caption 1: a car is driving down a hill
Caption 2: a car is shown in this image from the video
What's the transition?"
a car is driving down a hill,a car is driving on a dirt road,,"Caption 1: a car is driving down a hill
Caption 2: a car is driving on a dirt road
What's the transition?"
a video of a group of people standing on a street,a video of a man in a suit and tie,,"Caption 1: a video of a group of people standing on a street
Caption 2: a video of a man in a suit and tie
What's the transition?"
a child is swimming with a large alligator,two children are playing with an alligator in the pool,,"Caption 1: a child is swimming with a large alligator
Caption 2: two children are playing with an alligator in the pool
What's the transition?"
the surveillance video shows a man in a warehouse,the video shows a man in a factory,,"Caption 1: the surveillance video shows a man in a warehouse
Caption 2: the video shows a man in a factory
What's the transition?"
the man is seen in the video above the video,"the surveillance video shows a man in a suit and tie, standing on a platform, in a warehouse",,"Caption 1: the man is seen in the video above the video
Caption 2: the surveillance video shows a man in a suit and tie, standing on a platform, in a warehouse
What's the transition?"
a man in a vest and vest holding a knife,a man in a black shirt is standing in the woods,,"Caption 1: a man in a vest and vest holding a knife
Caption 2: a man in a black shirt is standing in the woods
What's the transition?"
a man is making a sandwich in the kitchen,a man is making something on a counter,,"Caption 1: a man is making a sandwich in the kitchen
Caption 2: a man is making something on a counter
What's the transition?"
chicken in a bowl with a spoon,a bowl filled with chicken sitting on a counter,,"Caption 1: chicken in a bowl with a spoon
Caption 2: a bowl filled with chicken sitting on a counter
What's the transition?"
a man is standing on a bed in a room,a man is sitting on a bed and looking out the window,,"Caption 1: a man is standing on a bed in a room
Caption 2: a man is sitting on a bed and looking out the window
What's the transition?"
