prev_caption,curr_caption,human_transition,input_text,generated_transition
a small animal being fed by a person,a hamy is being fed by someone,,"Caption 1: a small animal being fed by a person
Caption 2: a hamy is being fed by someone
What's the transition?",The hamy is now being fed by someone.
a small animal is being fed by a person,a small brown and white animal,,"Caption 1: a small animal is being fed by a person
Caption 2: a small brown and white animal
What's the transition?",The animal is brown and white.
a small bird is being fed by a person,a small kitten is being fed by a person,,"Caption 1: a small bird is being fed by a person
Caption 2: a small kitten is being fed by a person
What's the transition?",A kitten is now being fed.
a little girl is sitting in a sink,a little girl brushing her teeth in a bathroom sink,,"Caption 1: a little girl is sitting in a sink
Caption 2: a little girl brushing her teeth in a bathroom sink
What's the transition?",The little girl starts brushing her teeth.
a pan of food is cooking on a stove,a pan with a green liquid in it,,"Caption 1: a pan of food is cooking on a stove
Caption 2: a pan with a green liquid in it
What's the transition?",The pan is now green.
a pan with rice and a packet of rice,a book is sitting on a pan on the stove,,"Caption 1: a pan with rice and a packet of rice
Caption 2: a book is sitting on a pan on the stove
What's the transition?",A book is shown on the stove.
a pan with rice being poured into it,a pot filled with rice and a measuring spoon,,"Caption 1: a pan with rice being poured into it
Caption 2: a pot filled with rice and a measuring spoon
What's the transition?",Rice and a measuring spoon are now in the pot.
a man in a black coat,a man in a black jacket and tie standing in front of a wall,,"Caption 1: a man in a black coat
Caption 2: a man in a black jacket and tie standing in front of a wall
What's the transition?",The man stands in front of the wall.
a man in a black coat and a black scarf,a man in a black jacket,,"Caption 1: a man in a black coat and a black scarf
Caption 2: a man in a black jacket
What's the transition?",The man is wearing a black jacket.
a young boy wearing a green shirt,a young boy wearing headphones,,"Caption 1: a young boy wearing a green shirt
Caption 2: a young boy wearing headphones
What's the transition?",He is wearing headphones.
a man is standing on a stage with a ball,a man is dancing on a stage with people watching,,"Caption 1: a man is standing on a stage with a ball
Caption 2: a man is dancing on a stage with people watching
What's the transition?",The man continues to dance.
a white pillow sitting on top of a wooden floor,a white bag with a white cloth on it,,"Caption 1: a white pillow sitting on top of a wooden floor
Caption 2: a white bag with a white cloth on it
What's the transition?",The bag is now in a white bag.
a man is swimming in the water,a man is jumping into a body of water,,"Caption 1: a man is swimming in the water
Caption 2: a man is jumping into a body of water
What's the transition?",The man jumps into the water.
a man feeding a kangaroo in the grass,a man kneeling down to pet a kangaroo,,"Caption 1: a man feeding a kangaroo in the grass
Caption 2: a man kneeling down to pet a kangaroo
What's the transition?",The man kneels down to pet the kangaroo.
a man is feeding a dog in the grass,a man kneeling down to pet a dog,,"Caption 1: a man is feeding a dog in the grass
Caption 2: a man kneeling down to pet a dog
What's the transition?",The man kneels down to pet the dog.
a man riding a bike down a street,a dog is laying on the grass in the yard,,"Caption 1: a man riding a bike down a street
Caption 2: a dog is laying on the grass in the yard
What's the transition?",A dog is nearby.
a man in a suit running down a road,a woman in a black dress standing in the woods,,"Caption 1: a man in a suit running down a road
Caption 2: a woman in a black dress standing in the woods
What's the transition?",The woman in black appears in the woods.
a woman is brushing her hair with a brush,a woman holding a kitten in her hands,,"Caption 1: a woman is brushing her hair with a brush
Caption 2: a woman holding a kitten in her hands
What's the transition?",The woman holds a kitten instead of brushing.
a woman is brushing her hair in the kitchen,a woman with long hair,,"Caption 1: a woman is brushing her hair in the kitchen
Caption 2: a woman with long hair
What's the transition?",The woman has long hair.
a man and a boy are playing with a kite,two people are flying a kite in the air,,"Caption 1: a man and a boy are playing with a kite
Caption 2: two people are flying a kite in the air
What's the transition?",Two people are flying a kite.
how to cook fish in boiling,a pot of boiling on a stove,,"Caption 1: how to cook fish in boiling
Caption 2: a pot of boiling on a stove
What's the transition?",The fish are now boiling on the stove.
a pot of boiling on a stove,how to cook rice in a pot,,"Caption 1: a pot of boiling on a stove
Caption 2: how to cook rice in a pot
What's the transition?",The rice is now cooking on the stove.
a pot of boiling on a stove,how to cook a pot of water,,"Caption 1: a pot of boiling on a stove
Caption 2: how to cook a pot of water
What's the transition?",The pot continues to boil.
a cat playing with a toy on the floor,a cat playing with a toothbrush,,"Caption 1: a cat playing with a toy on the floor
Caption 2: a cat playing with a toothbrush
What's the transition?",The cat replaces the toy with a toothbrush.
a small white kitten playing with a toy,a cat is playing with a blue towel,,"Caption 1: a small white kitten playing with a toy
Caption 2: a cat is playing with a blue towel
What's the transition?",The kitten replaces the toy with a blue towel.
a man is fixing a sink in a kitchen,a man in a red shirt is holding a wooden stick,,"Caption 1: a man is fixing a sink in a kitchen
Caption 2: a man in a red shirt is holding a wooden stick
What's the transition?",The man is holding a wooden stick.
a man is seen in the doorway of a house,a man is seen in the window of a building,,"Caption 1: a man is seen in the doorway of a house
Caption 2: a man is seen in the window of a building
What's the transition?",The man looks in the window.
a woman sitting on a bench with a stuffed animal,a woman sitting on a bench with a bird,,"Caption 1: a woman sitting on a bench with a stuffed animal
Caption 2: a woman sitting on a bench with a bird
What's the transition?",A bird joins the woman.
a dog is running in the grass,a dog is running through a field,,"Caption 1: a dog is running in the grass
Caption 2: a dog is running through a field
What's the transition?",The dog begins to run.
a woman riding a horse on the beach,a man riding a horse on the beach,,"Caption 1: a woman riding a horse on the beach
Caption 2: a man riding a horse on the beach
What's the transition?",The woman continues riding.
